cty,ldf,kcalPerKgGenus,percProtCtyGenus
BRA,Pork,1578.00107694695,19.5000410700107
BRA,Poultry,1726.0011697248,18.000025490371
BRA,Sheep,1515.98702502317,18.9192093061944
BTN,Beef,1249.99391169523,19.4354970448799
BTN,Eggs,1439.99091631657,13.3000264940767
BTN,Milk,652.700491976784,3.37129569395834
BTN,Pork,3950.02607335303,13.2000695289414
BTN,Poultry,1669.99104973789,19.3001747432127
BTN,Sheep,2030.00772341102,18.9192093061944
BWA,Beef,2350.00600504424,18.4002562152208
BWA,Eggs,1390.00407996736,12.5999592003264
BWA,Milk,649.999554055658,3.37129569395834
BWA,Pork,2650.08463419221,16.8008275343239
BWA,Poultry,1810.00368686248,19.5001508261924
BWA,Sheep,2291.19406998545,16.4501754053285
CAF,Beef,2350.00438028676,18.4001245948235
CAF,Eggs,1389.99310661765,12.5999540441177
CAF,Milk,650.000110506274,3.37129569395834
CAF,Pork,2649.98422577222,16.7995525855393
CAF,Poultry,1810.04002668446,19.5005003335557
CAF,Sheep,2291.19406998545,16.4503826786634
CAN,Beef,2909.99991344689,17.3199262567511
CAN,Eggs,1429.99691532391,12.5598305854299
CAN,Milk,473.919341986607,3.15000020714827
CAN,Pork,3759.99877654831,13.9099398391161
CAN,Poultry,2149.99945646182,18.6000319911046
CAN,Sheep,1089.96442613743,16.8797977906759
CHL,Beef,1301.00119259228,19.4354970448799
CHL,Eggs,1539.99691408293,12.5001071498984
CHL,Milk,571.000117540447,3.27999892455661
CHL,Pork,1578.00143959276,19.5000507073051
CHL,Poultry,1725.99924785663,18.0000285624065
CHL,Sheep,1515.98702502317,18.9192093061944
CIV,Beef,2349.96885166471,18.3996677510902
CIV,Eggs,1390.01287737874,12.6000858491916
CIV,Milk,649.984255274483,3.37129569395834
CIV,Pork,2650.03683822755,16.8003368066519
CIV,Poultry,1809.99872139113,19.5000639304437
CIV,Sheep,2291.19406998545,16.4501839989096
CMR,Beef,2350.01065013135,18.3998769318155
CMR,Eggs,1390.04126667907,12.6000197029237
CMR,Milk,650.002698861081,3.37129569395834
CMR,Pork,2649.95610184372,16.7998244073749
CMR,Poultry,1809.98925513847,19.50019063464
CMR,Sheep,2291.19406998545,16.4500582565406
COD,Beef,2349.99519600308,18.3997886241353
COD,Eggs,1389.99881782717,12.6001891476534
COD,Milk,650.002553234949,3.37129569395834
COD,Pork,2649.98400292518,16.7998994469583
COD,Poultry,1810,19.5
COD,Sheep,2291.19406998545,16.449639704349
COG,Beef,2349.99519600307,18.3997886241353
COG,Eggs,1389.99881782717,12.6001891476534
COG,Milk,650.002553234949,3.37129569395834
COG,Pork,2649.98400292518,16.7998994469583
COG,Poultry,1810,19.5
COG,Sheep,2291.19406998545,16.449639704349
COL,Beef,1301.00352199446,19.4354970448799
COL,Eggs,1540.0009952877,12.50004785037
COL,Milk,571.000019976496,3.28000511940019
COL,Pork,1578.00811780886,19.5006317578522
COL,Poultry,1725.99764270079,17.9999037837058
COL,Sheep,1515.98734712792,18.9192093061944
CRI,Beef,1300.99911608294,19.4354970448799
CRI,Eggs,1539.99536833548,12.4998227679394
CRI,Milk,571.000022903985,3.2800058696313
CRI,Pork,1578.0019517509,19.4999205682772
CRI,Poultry,1725.99986326656,18.0001367334382
CRI,Sheep,1515.99898051391,18.9192093061944
CUB,Beef,1301.00091369715,19.4354970448799
CUB,Eggs,1540.00043575833,12.5001634093732
CUB,Milk,570.999782871906,3.2800326796183
CUB,Pork,1577.99957911193,19.5000450951508
CUB,Poultry,1726.00228941264,18.0000872796608
CUB,Sheep,1515.98190177333,18.9192093061944
CYP,Beef,2909.98762399099,17.3199475404991
CYP,Eggs,1430.00365092519,12.5597621683019
CYP,Milk,473.919481980591,3.14998892240992
CYP,Pork,3760.00155514949,13.9100645087971
CYP,Poultry,2150.00216468958,18.6000952463417
CYP,Sheep,1089.99853842649,16.8803143242802
CZE,Beef,2909.99161110866,17.3199699765994
